State,Rainfall
Andaman and Nicobar Islands,2967
Andhra Pradesh,1094
Arunachal Pradesh,2782
Assam,2818
Bihar,1326
Chandigarh,617
Chhattisgarh,587
Delhi,617
Goa,3005
Gujarat,1107
Haryana,617
Himachal Pradesh,1251
Jammu and Kashmir,100
Jharkhand,794
Karnataka,3456
Kerala,3055
Lakshadweep,1515
Madhya Pradesh,1017
Maharashtra,3005
Manipur,1881
Meghalaya,2818
Mizoram,1881
Nagaland,1881
Odisha,1489
Orissa,1489
Pondicherry,998
Punjab,649
Rajasthan,313
Sikkim,2739
Tamil Nadu,998
Telangana,1000
Tripura,1881
Uttar Pradesh,1025
Uttarakhand,1700
West Bengal,2739
